"subject_id","qc_mot_abs","qc_mot_rel","qc_outliers_pe","avg_snr_0","avg_cnr_1000","residual","qc_PC1"
"sub-SUB0001",0.5,0.18,0,32.97000122,2.289999962,3.719414,0.264029699136584
"sub-SUB0002",0.4,0.18,0,47.86000061,2.440000057,4.398248,-0.440902922734081
"sub-SUB0003",0.52,0.17,0.093240093,36.31000137,2.49000001,14.027274,0.587168391069125
"sub-SUB0004",0.23,0.17,0.326340326,50.38000107,2.269999981,3.916907,-0.505802897651364
"sub-SUB0005",0.47,0.17,1.328671329,39.91999817,2.539999962,3.303943,0.557636867070968
"sub-SUB0006",1.65,0.68,0.536130536,34.68999863,1.470000029,3.584374,3.29367166816578
"sub-SUB0007",0.29,0.09,0.068870523,57.56000137,4.389999866,3.295796,-1.87216337374229
"sub-SUB0008",0.88,0.3,0.619834711,28.87999916,2.710000038,3.896187,1.33693157822657
"sub-SUB0009",0.53,0.27,0.137741047,50.09999847,3.150000095,3.240062,-0.358429501936062
"sub-SUB0010",0.24,0.07,0.59687787,63.25,8.409999847,3.504934,-3.25316997957576
"sub-SUB0011",0.32,0.1,0.160697888,55.06999969,3.920000076,3.468942,-1.49851408595213
"sub-SUB0012",2.86,0.19,1.400367309,57.49000168,1.919999957,3.739142,2.24729582131943
"sub-SUB0013",0.19,0.09,0.099354198,54.75999832,4.789999962,3.844759,-1.93724458827288
"sub-SUB0014",0.3,0.16,0.023310023,51.09000015,2.579999924,3.088341,-0.815128475698358
"sub-SUB0015",0.18,0.2,0.046620047,42.79000092,2.559999943,4.080192,-0.394886383874777
"sub-SUB0016",0.22,0.08,1.308539945,56.95999908,3.5,3.326726,-0.954568171545131
"sub-SUB0017",0.83,0.19,0.186480186,43.43000031,2.339999914,3.297541,0.225091511361963
"sub-SUB0018",0.62,0.19,0.022956841,53.00999832,4.039999962,3.480523,-0.99465285559683
"sub-SUB0019",0.23,0.1,0.091827365,55.36000061,4.510000229,4.312271,-1.78419542989767
"sub-SUB0020",1.29,0.27,0.163170163,32.20999908,2.410000086,13.250548,1.75530898514326
"sub-SUB0021",0.37,0.19,0.233100233,43.50999832,2.210000038,2.930772,-0.124150400764506
"sub-SUB0022",0.23,0.07,0.688705234,61.43000031,4.130000114,3.704102,-1.69274248208405
"sub-SUB0023",0.63,0.3,0.367309458,28.31999969,1.179999948,3.388359,1.49288506162966
"sub-SUB0024",0.32,0.14,0.022956841,55.75999832,5.519999981,3.830558,-1.99888310485886
"sub-SUB0025",0.27,0.12,0.941230487,49.47999954,4.400000095,3.216869,-0.996660668601407
"sub-SUB0026",0.73,0.19,0.303030303,38.93999863,2.660000086,3.360189,0.2795347205736
"sub-SUB0027",0.35,0.16,0.13986014,41.33000183,2.480000019,3.560459,-0.258262351816163
"sub-SUB0028",0.36,0.16,1.01010101,40.88999939,3.089999914,4.365382,0.0822467140711312
"sub-SUB0029",2.43,0.46,1.147842057,10.98999977,1.74000001,4.501894,4.53737250354602
"sub-SUB0030",0.85,0.29,0.372960373,38.34999847,2.210000038,4.326997,0.950184715641001
"sub-SUB0031",0.49,0.15,0.045913682,59.36000061,3.140000105,3.699091,-1.16132519633715
"sub-SUB0032",0.19,0.11,0.114784206,54.11000061,3.319999933,3.387774,-1.36947799139376
"sub-SUB0033",0.17,0.09,0.229568411,69.62999725,6.119999886,3.182172,-2.95936158513845
"sub-SUB0034",0.65,0.25,0.116550117,24.92000008,1.99000001,3.616092,1.09387668489126
"sub-SUB0035",0.4,0.18,0.108342362,49.27999878,2.460000038,3.457427,-0.489429757126687
"sub-SUB0036",0.81,0.46,1.491841492,30.04999924,1.570000052,15.175191,3.11842739410654
"sub-SUB0037",1.15,0.2,1.01010101,23.55999947,1.529999971,3.755522,2.08192362821074
"sub-SUB0038",0.69,0.44,0.780532599,32.75999832,2.24000001,3.367245,1.66849259895196
"sub-SUB0039",0.89,0.14,0.815850816,37.65999985,2.019999981,3.312601,0.811375351553899
"sub-SUB0040",0.81,0.26,0,39.40000153,1.940000057,3.711811,0.636399779449739
"sub-SUB0041",0.45,0.18,0.757575758,40.88999939,3.039999962,3.028636,0.0358349182905437
"sub-SUB0042",0.2,0.09,0.022956841,57.00999832,4.510000229,3.866542,-1.96653329048999
"sub-SUB0043",0.9,0.25,0.629370629,34.95000076,2.190000057,3.124438,1.09892162123898
"sub-SUB0044",2.12,0.29,0.093240093,26.64999962,1.830000043,4.487743,2.50126525070377
"sub-SUB0045",1.47,0.29,0.665748393,36.68999863,2.579999924,3.143883,1.5353508993261
"sub-SUB0046",0.22,0.23,0.619834711,62.90999985,4.139999866,3.938146,-1.29890723417436
"sub-SUB0047",0.29,0.18,0.20979021,47.88000107,2.309999943,4.135421,-0.389817546391192
"sub-SUB0048",0.21,0.14,0.372960373,47.06999969,3.049999952,3.692091,-0.728531837586793
"sub-SUB0049",0.33,0.09,1.01010101,62.33000183,3.960000038,4.218933,-1.32205215510206
"sub-SUB0050",0.36,0.36,0.436179982,44.15999985,3.700000048,3.411343,-0.00063666196807384
"sub-SUB0051",0.21,0.18,0.093240093,49.70999908,2.460000038,4.215786,-0.643701471012312
"sub-SUB0052",2.33,0.38,1.212121212,38.56000137,1.75999999,4.128621,3.10455001541095
"sub-SUB0053",0.18,0.13,1.262626263,47.34000015,6.159999847,3.536235,-1.35522615496553
"sub-SUB0054",0.9,0.29,0.34965035,41.13000107,2.109999895,3.952744,0.884393360185385
"sub-SUB0055",0.24,0.09,0.102375102,49.13999939,4.420000076,3.412618,-1.56209720706077
"sub-SUB0056",0.16,0.16,0.023310023,48.38000107,2.519999981,3.510243,-0.786997370325311
"sub-SUB0057",0.36,0.12,0,40.20000076,2.960000038,3.339776,-0.575866088004288
"sub-SUB0058",0.16,0.07,0.022956841,30.27000046,4.210000038,3.936927,-0.88099373320739
"sub-SUB0059",0.41,0.23,0.163170163,35.50999832,2.380000114,3.404554,0.28275181012817
"sub-SUB0060",0.32,0.21,0.233100233,39.88000107,2.25,3.341037,0.0464105540497039
"sub-SUB0061",0.61,0.18,1.095571096,41.54999924,2.549999952,4.934757,0.588768228444494
"sub-SUB0062",0.55,0.36,0.918273646,41.75,2.859999895,3.869592,0.830610344476597
"sub-SUB0063",2.04,1.5,5.454545455,16.48999977,1.00999999,3.701351,9.76539504078642
"sub-SUB0064",0.29,0.2,0.233100233,36.86999893,2.089999914,3.579245,0.175906308363911
"sub-SUB0065",1.51,0.41,0.13986014,37.08000183,1.710000038,3.186337,1.92693257330417
"sub-SUB0066",0.69,0.18,0.34965035,46.93000031,2.410000086,3.206987,-0.00552625964964817
"sub-SUB0067",0.4,0.12,1.147842057,67.51000214,6.579999924,3.396467,-2.21947382621442
"sub-SUB0068",0.35,0.14,0.27972028,37.47999954,2.599999905,3.475914,-0.131633138762379
"sub-SUB0069",0.32,0.12,0.023310023,45.15999985,2.829999924,3.984381,-0.723469979718785
"sub-SUB0070",0.26,0.08,0.183654729,61.5,4.829999924,3.713739,-2.15214699756257
"sub-SUB0071",1.01,0.23,0.757575758,49.16999817,2.589999914,4.327244,0.552863175930018
"sub-SUB0072",0.53,0.21,0.114784206,33.52000046,3.700000048,3.508006,-0.059357046723503
"sub-SUB0073",0.5,0.14,0.046620047,44.91999817,3.019999981,4.037175,-0.544836303073693
"sub-SUB0074",0.21,0.09,0.045913682,72.94999695,6.769999981,3.920745,-3.34315284754842
"sub-SUB0075",0.56,0.28,1.170798898,47.20999908,3.230000019,4.169419,0.402501802901918
"sub-SUB0076",0.29,0.18,0.699300699,46.31000137,2.609999895,2.961434,-0.21220712917039
"sub-SUB0077",0.81,0.19,1.095571096,41.79999924,2.230000019,3.713962,0.832218212427792
"sub-SUB0078",0.46,0.34,0.045913682,34.54000092,2.829999924,4.140493,0.522744025657402
"sub-SUB0079",0.72,0.22,0.34965035,40.40999985,2.559999943,4.079573,0.397242353553217
"sub-SUB0080",0.31,0.1,0.022956841,41.81000137,4.670000076,3.376602,-1.30473153959256
"sub-SUB0081",0.32,0.12,0.183654729,46.15999985,3.400000095,3.476434,-0.890380327596322
"sub-SUB0082",0.51,0.17,0.116550117,38.11999893,2.440000057,3.936138,0.0586340672379786
"sub-SUB0083",0.2,0.14,0.573921028,47.02000046,3.00999999,3.653802,-0.612552689419386
"sub-SUB0084",0.76,0.22,0.48951049,45.97999954,2.99000001,3.656893,0.120420300356661
"sub-SUB0085",1.17,0.18,0,39.59000015,2.180000067,15.640357,1.17686997715792
"sub-SUB0086",0.44,0.12,0.642791552,59.38000107,4.769999981,3.410332,-1.52839982944956
"sub-SUB0087",1.38,0.25,0.573921028,51.06999969,1.74000001,3.517882,1.00345011106073
"sub-SUB0088",0.35,0.1,1.423324151,49.58000183,5.340000153,4.006439,-1.00472629221438
"sub-SUB0089",0.49,0.09,0.045913682,78.20999908,5.570000172,3.462691,-2.93199512669716
"sub-SUB0090",0.48,0.19,0.163170163,42.45000076,2.440000057,3.921131,-0.0552435967856322
"sub-SUB0091",0.4,0.19,0.022956841,39.27000046,2.460000038,3.359137,-0.107001634004027
"sub-SUB0092",0.32,0.22,0.046620047,40.41999817,2.289999962,3.793633,-0.039625719795169
"sub-SUB0093",0.58,0.22,0.390266299,39.27000046,2.730000019,4.560672,0.310179285060282
"sub-SUB0094",0.4,0.19,0.711662075,53.88999939,3.380000114,15.360838,-0.057610282861532
"sub-SUB0095",0.21,0.17,0.303030303,47.54999924,2.519999981,3.450817,-0.527788658714726
"sub-SUB0096",0.28,0.17,0,48,2.440000057,3.744213,-0.612054074666194
"sub-SUB0097",0.38,0.21,0.252525253,35.18999863,3.210000038,3.334734,-0.024207560236451
"sub-SUB0098",0.47,0.19,0.792540793,34.59000015,2.130000114,5.031334,0.756972798399054
"sub-SUB0099",0.42,0.25,0.163170163,35.31999969,2.119999886,3.278884,0.441897731129004
"sub-SUB0100",0.87,0.14,0.137741047,39.18999863,2.819999933,3.249302,0.086495375642946
